title,year,conference
 State-of-the-artspeech recognition with sequence-to-sequence models,2018, In 2018 IEEE International ConferenceonAcoustics
 Arcface: Additive angular marginloss for deep face recognition,2019, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Identity mappings in deep residualnetworks,2016, In European conference on computer vision
 Densely connectedconvolutional networks,2017, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Large-margin softmax loss for convolu-tional neural networks,2016, In ICML
 Sphereface: Deephypersphere embedding for face recognition,2017, In Proceedings of the IEEE conference on computervision and pattern recognition
 Mo-bilenetv2: Inverted residuals and linear bottlenecks,2018, In Proceedings of the IEEE conference oncomputer vision and pattern recognition
 Attention is all you need,2017, In Advances in neural informationprocessing systems
 Additive margin softmax for face verifica-tion,2018, IEEE Signal Processing Letters
 Cosface: Large margin cosine loss for deep face recognition,2018, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 Deep cosine metric learning for person re-identification,2018, In 2018IEEE winter conference on applications of computer vision (WACV)
