title,year,conference
 A systematic study of the class imbalanceproblem in convolutional neural networks,2018, Neural Networks
 Learning imbalanceddatasets with label-distribution-aware margin loss,2019, CoRR
 Feature space augmentation for long-taileddata,2020, CoRR
 Class-balanced loss based oneffective number of samples,2019, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Deep residual learning for imagerecognition,2016, 2016 IEEE Conference on Computer Vision and Pattern Recognition
 Long short-term memory,1997, Neural Computation
 Decoupling representation and classifier for long-tailed recognition,2020, In InternationalConference on Learning Representations
 Focal loss for denseobject detection,2017, In IEEE International Conference on Computer Vision
 Memory-based jitter: Improvingvisual recognition on long-tailed data with diversity in memory,2020, CoRR
 Large-scalelong-tailed recognition in an open world,2019, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 GloVe: Global vectors for wordrepresentation,2014, In Proceedings of the 2014 Conference on Empirical Methods in Natural LanguageProcessing
 Relay backpropagation for effective learning of deepconvolutional neural networks,2016, In Proceedings of the European Conference on Computer Vision
 BBN: Bilateral-branch network withcumulative learning for long-tailed visual recognition,2019, CoRR
 Penalizing top performers: Con-servative loss for semantic segmentation adaptation,2018, In Proceedings of the European Conferenceon Computer Vision
0 to 28,2018,6 on tail classes
