title,year,conference
 Invariant scattering convolution networks,2013, IEEE Transactions on PatternAnalysis and Machine Intelligence
 GRAND:Graph neural diffusion,2021, June 2021
 Skeleton-based action recognition withshift graph convolutional network,2020, In Proceedings of the IEEE Computer Society Conference onComputer Vision and Pattern Recognition
 Spatial-temporal graph ode networks for traffic flowforecasting,2021, page 10
 Distributed linear-quadratic control with graph neural networks,2021, 2021
 Stability of graph scattering transforms,2019, In Advances in NeuralInformation Processing Systems (NeurIPS)
 Stability properties of graph neural networks,2020, IEEE Transactionson Signal Processing
 Synthesizing decentralized controllers withgraph neural networks and imitation learning,2020, Dec
 Abstract Algebra,2007, Springer-Verlag
 Variationalgraph recurrent neural networks,2019, In Neural Information Processing Systems (NeurIPS)
 Graph-time convolutional neural networks,2021, In IEEE Data Science andLearning Workshop
 Graph neural networks for decentralized multi-robotpath planning,2020, In IEEE International Conference on Intelligent Robots and Systems
 Diffusion convolutional recurrent neural network: Data-driventraffic forecasting,2018, In International Conference on Learning Representations (ICLR ’18)
 Resource allocation in large-scale wireless controlsystems with graph neural networks,2634, In 21th IFAC World Congress
 Frequency analysis of time-varying graph signals,2016, In 2016 IEEE GlobalConference on Signal and Information Processing
 Recurrent space-time graph neural networks,2019, Advances inNeural Information Processing Systems
 Spatio-temporal graph scattering transform,2021, In InternationalConference on Learning Representations
 Evolvegcn: Evolving graph convolutional networks for dynamic graphs,2020, In TheThirty-Fourth AAAI Conference on Artificial Intelligence
 Continuous-depth neural models for dynamic graph prediction,2021, June 2021
 Gated graph recurrent neural networks,2020, IEEE Transactions onSignal Processing
 Graphon and graph neural network stability,2021, In ICASSP 2021 -2021 IEEE International Conference on Acoustics
 Discrete signal processing on graphs,2013, IEEE Transactions on SignalProcessing
 Structured sequence modeling with graphconvolutional recurrent networks,2018, In Advances in Neural Information Processing Systems
 The emerging field ofsignal processing on graphs: Extending high-dimensional data analysis to networks and otherirregular domains,2012, IEEE Signal Processing Magazine
 Fast and flexible proteindesign using deep graph neural networks,2020, Cell Systems
 Stable flocking of mobile agents part II: dynamictopology,2003, In Proceedings of the IEEE Conference on Decision and Control
 Learning decentralizedcontrollers for robot swarms with graph neural networks,2020, In Proceedings of the Conference onRobot Learning
 Capt: Concurrent assignment and planning of trajectories formultiple robots,2014, The International Journal of Robotics Research
 BridgeDPI: A novel graph neural networkfor prediCting drug-protein interaCtions,2021, Jan
 Continuous graph neural networks,2020, In 37th InternationalConference on Machine Learning
 Spatial temporal graph convolutional networks for skeleton-based actionrecognition,7444, In 32nd AAAI Conference on Artificial Intelligence
 Communication topology co-design in graph recurrent neural network baseddistributed control,2021, 2021
 Graph convolu-tional neural networks for web-scale recommender systems,2018, Proceedings of the ACM SIGKDDInternational Conference on Knowledge Discovery and Data Mining
 Spatio-temporal graph convolutional networks: A deep learning frameworkfor traffic forecasting,2018, In Proceedings of the 27th International Joint Conference on ArtificialIntelligence (IJCAI)
 Graph convolutional neural networks via scattering,2020, Applied and Computa-tional Harmonic Analysis
