title,year,conference
 Curiously fast convergence of some stochastic gradient descent algorithms,2009, Unpublishedopen problem offered to the attendance of the SLDS 2009 conference
 Convex optimization: Algorithms and complexity,2015, Foundations and Trends®in Machine Learning
 Random reshuffling is not always better,2020, Advances in Neural InformationProcessing Systems
 Convergence rate of incremental gradientand incremental newton methods,2019, SIAM Journal on Optimization
 Why random reshuffling beats stochasticgradient descent,2019, Mathematical Programming
 Random shuffling beats sgd after finite epochs,2019, In InternationalConference on Machine Learning
 Recht-re noncommutative arithmetic-geometric mean conjecture isfalse,2020, In International Conference on Machine Learning
 A general analysis of example-selection forstochastic gradient descent,2021, In International Conference on Learning Representations
 Random reshuffling: Simple analysiswith vast improvements,2020, ArXiv
 Convergence rate of incremental subgradient algorithms,2001, InStochastic optimization: algorithms and applications
 Aunified convergence analysis for shuffling-type gradient methods,2020, arXiv preprint arXiv:2002
 Numerical optimization,2006, Springer Science & Business Media
 Closing the convergence gap of sgdwithout replacement,2020, In International Conference on Machine Learning
 Parallel stochastic gradient algorithms for large-scale matrixcompletion,2013, Mathematical Programming Computation
 Random shuffling beats sgd only after many epochs on ill-conditionedproblems,2021, arXiv preprint arXiv:2106
 Probability inequalities for kernel embeddings in sampling without replacement,2016, InAISTATS
 Without-replacement sampling for stochastic gradient methods,2016, In Proceedings of the30th International Conference on Neural Information Processing Systems
 Shuffling gradient-based methods withmomentum,2020, arXiv preprint arXiv:2011
 Variance-reduced stochastic learning under randomreshuffling,2020, IEEE Transactions on Signal Processing
