title,year,conference
 The arcade learning envi-ronment: An evaluation platform for general agents,2013, J
 Learning deep architectures for ai,2009, Foundations and trendsR in MachineLearning
 The reactor:A sample-efficient actor-critic architecture,2017, arXiv preprint arXiv:1704
 Long short-term memory,1997, Neural computation
 Reinforcement learning with unsuPervised auxiliary tasks,2017, Toappear in 5th International Conference on Learning Representations
 Actor-critic algorithms,2000, In Advances in neural informationprocessing systems
 DeeP learning,2015, Nature
 Continuous control with deeP reinforcement learning,2015, arXivpreprint arXiv:1509
 Asynchronous methods for deeP reinforcementlearning,2016, In International Conference on Machine Learning
 Incremental multi-steP q-learning,1996, Machine learning
 Trust regionPolicy oPtimization,2015, CoRR
 High-dimensionalcontinuous control using generalized advantage estimation,2015, arXiv preprint arXiv:1506
 Learning to rePeat: Finegrained action rePetition for deeP reinforcement learning,2017, To appear in 5th International Conferenceon Learning Representations
 Masteringthe game of go with deep neural networks and tree search,2016, Nature
 Mastering the game of go withouthuman knowledge,2017, Nature
 Introduction to reinforcement learning,1998, MIT Press
 Policy gradientmethods for reinforcement learning with function approximation,1999, In NIPS
 Policy evaluationusing the ω-return,2015, 2015
 Technical note: Q-learning,1992, Mach
 This is in keeping with the training regime inSharma et al,2000, (2017) to ensure fair comparisons to the baseline scores
