title,year,conference
 On the optimization of a synapticlearning rule,1992, In Optimality in Artificial and Biological Neural Networks
 Mixture density networks,1994, 1994
 Openai gym,2016, arXiv preprint arXiv:1606
 Reinforcement learning from demonstration through shaping,2015, In IJCAI
 Rl2: Fastreinforcement learning via slow reinforcement learning,2016, arXiv preprint arXiv:1611
 Learning to Learn with Gradients,2018, PhD thesis
 Model-agnostic meta-learning for fast adaptationof deep networks,2017, In International Conference on Machine Learning (ICML)
 One-shot visual imita-tion learning via meta-learning,2017, Conference on Robot Learning (CoRL)
 Continuous deep q-learningwith model-based acceleration,2016, In International Conference on Machine Learning
 Meta-reinforcement learning of structured exploration strategies,2018, arXiv preprint arXiv:1802
 Soft actor-critic: Off-policy maximum entropy deep reinforcement learning with a stochastic actor,2018, arXiv preprintarXiv:1801
 Multi-modal imitation learning from unstructured demonstrations using generative adversarial nets,2017, InNeural Information Processing Systems (NIPS)
 Deep q-learning from demonstra-tions,2018, AAAI
 Evolved policy gradients,2018, arXiv:1802
 Task-embedded control networks forfew-shot imitation learning,2018, arXiv preprint arXiv:1810
 Adam: A method for stochastic optimization,2015, InternationalConference on Learning Representations (ICLR)
 Policy search for motor primitives in robotics,2009, In Neural InformationProcessing Systems (NIPS)
 Robot motor skill coordination withem-based reinforcement learning,2010, In Intelligent Robots and Systems (IROS)
 A simple neural attentive meta-learner,2018, International Conference on Learning Representations (ICLR)
 Over-coming exploration in reinforcement learning with demonstrations,2018, International Conference onRobotics and Automation (ICRA)
 One-shot high-fidelityimitation: Training large-scale deep nets with rl,2018, arXiv preprint arXiv:1810
 Policy gradient methods for robotics,2006, In International Conference onIntelligent Robots and Systems (IROS)
 Learning complex dexterous manipulation with deep reinforcement learning anddemonstrations,2018, Robotics: Science and Systems
 Efficient off-policymeta-reinforcement learning via probabilistic context variables,2019, arXiv preprint arXiv:1903
 A tutorial onthompson sampling,2018, Foundations and Trends® in Machine Learning
 Meta reinforcement learningwith latent variable gaussian processes,2018, arXiv preprint arXiv:1803
 Evolutionary principles in SeIf-referential learning,1987, PhD thesis
 Masteringthe game of go with deep neural networks and tree search,2016, Nature
 Some considerations on learning to explore via meta-reinforcement learning,2018, arXivpreprint arXiv:1803
 Learning to learn:Meta-critic networks for sample efficient learning,2017, arXiv:1706
 Integrating reinforcement learning withhuman demonstrations of varying ability,2011, In International Conference on Autonomous Agents andMultiagent Systems
 One-shot imitation from observing humans via domain-adaptive meta-learning,2018, Robotics:Science and Systems (RSS)
