title,year,conference
 Improved geometric pathenumeration for verifying relu neural networks,2020, In Shuvendu K
 Large-scale machine learning with stochastic gradient descent,2010, In Yves Lechevallierand Gilbert Saporta (eds
 Maximum resilience of artificial neu-ral networks,2017, In Deepak D’Souza and K
 Training deep neural networks withlow precision multiplications,2015, In Yoshua Bengio and Yann LeCun (eds
 Output range analysisfor deep feedforward neural networks,1081, In Aaron Dutle
 AI2: safety and robustness certification of neural networks with abstractinterpretation,2018, In 2018 IEEE Symposium on Security and Privacy
 Explaining and harnessing adversarialexamples,2015, In 3rd International Conference on Learning Representations (ICLR)
 Deep learn-ing with limited numerical precision,2015, In Francis Bach and David Blei (eds
 Reluplex: Anefficient Smt solver for verifying deep neural networks,2017, In RUPak Majumdar and Viktor Kuncak(eds
 Adversarial machine learning at scale,2017, In5th International Conference on Learning Representations
 Deepfool: Asimple and accurate method to fool deep neural networks,2016, In The IEEE Conf
 Handbook ofFloating-Point Arithmetic,2010, Birkhauser Boston
 TensorFuzz: Debuggingneural networks with coverage-guided fuzzing,2019, In Kamalika Chaudhuri and Ruslan Salakhutdinov(eds
 Certified defenses against adversarialexamples,2018, In International Conference on Learning Representations
 An abstract domain for certify-ing neural networks,2019, Proc
 Intriguing properties of neural networks,2014, In 2nd International Conferenceon Learning Representations (ICLR)
 Evaluating robustness of neural networks with mixedinteger programming,2019, In International Conference on Learning Representations (ICLR)
 Efficient formal safetyanalysis of neural networks,2018, In S
 Formal security analysisof neural networks using symbolic intervals,2018, In Proceedings of the 27th USENIX Conference onSecurity Symposium
 Provable defenses against adversarial examples via the convex oUteradversarial polytope,2018, In Jennifer Dy and Andreas KraUse (eds
