title,year,conference
 Deepauth:A framework for continuous user re-authentication in mobile apps,2018, In Proceedings of the 27thACM International Conference on Information and Knowledge Management
 Signature Verifi-cation using a” siamese” time delay neural network,1994, In Advances in neural information processingsystems
 Mobile based continuous authenticationusing deep features,2018, In Proceedings of the 2nd International Workshop on Embedded and MobileDeep Learning
 In defense of the triplet loss for person re-identification,2017, arXiv preprint arXiv:1703
 Leveraging siamese networks for one-shot intrusiondetection model,2020, arXiv preprint arXiv:2006
 A novel approach to design of user re-authenticationsystems,2009, In 2009 IEEE 3rd International Conference on Biometrics: Theory
 Siamese neural networks for one-shotimage recognition,2015, In ICML deep learning workshop
 Tdsd: A touch dynamic and sensor data based approach forcontinuous user authentication,2018, In PACIS
 Siamese network features for image matching,2016, In2016 23rd International Conference on Pattern Recognition (ICPR)
 Continuous User Authentication System: A Risk Analysis BasedApproach,1572, Wireless Personal Communications
 Gesture and sociability-based continuousauthentication on smart mobile devices,2018, In Proceedings of the 16th ACM International Symposiumon Mobility Management and Wireless Access
 Continuous authentication inmobile devices using behavioral biometrics,2019, In International Symposium on Ambient Intelligence
 Facenet: A unified embedding for facerecognition and clustering,2015, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Performance analysis ofmotion-sensor behavior for user authentication on smartphones,2016, Sensors
 Hmog: New behavioral biometric features for continuous authentication of smartphoneusers,2015, IEEE Transactions on Information Forensics and Security
 On the effective-ness of sensor-enhanced keystroke dynamics against statistical attacks,2016, In proceedings of the sixthACM conference on data and application security and privacy
 Deepface: Closing the gap tohuman-level performance in face verification,2014, In Proceedings of the IEEE conference on computervision and pattern recognition
 Few-shot learning through an informationretrieval lens,2017, In Advances in Neural Information Processing Systems
 Towards continuous authentication on mobile phones using deep learning models,2019, ProcediaComputer Science
 Siamese neural network based gait recogni-tion for human identification,2016, In 2016 IEEE International Conference on Acoustics
