title,year,conference
 Neural machine translation by jointlylearning to align and translate,2014, arXiv preprint arXiv:1409
 Bert: Pre-training of deepbidirectional transformers for language understanding,2018, arXiv preprint arXiv:1810
 Convolutional networks on graphs for learning molecularfingerprints,2015, In Advances in neural information processing systems
 Long short-term memory,1997, Neural computation
 Inferring semantic layout forhierarchical text-to-image synthesis,2018, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition
 Image generation from scene graphs,2018, In Proceedingsof the IEEE conference on computer vision and pattern recognition
 Layoutvae: Stochas-tic scene layout generation from a label set,2019, In Proceedings of the IEEE International Conferenceon Computer Vision
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Neural design network: Graphic layout generation with constraints,2019, arXiv preprintarXiv:1912
 Layoutgan: Generatinggraphic layouts with wireframe discriminators,2019, arXiv preprint arXiv:1901
 Object-driven text-to-image synthesis via adversarial training,2019, In Proceedings of the IEEEConference on Computer Vision and Pattern Recognition
 Microsoft coco: Common objects in context,2014, In Europeanconference on computer vision
 Gaussian mixture models,2009, Encyclopedia of biometrics
 Automatic layout generation forgraphical design magazines,2019, In ACM SIGGRAPH 2019 Posters
 Text2scene: Generating compositional scenes fromtextual descriptions,2019, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Attention is all you need,2017, In Advances in neural informationprocessing systems
 Stackgan++: Realistic image synthesis with stacked generative adversarial net-works,2018, IEEE transactions on pattern analysis and machine intelligence
 Image generation from layout,2019, In Proceedingsof the IEEE Conference on Computer Vision and Pattern Recognition
 Content-aware generative modelingof graphic design layouts,2019, ACM Transactions on Graphics (TOG)
