title,year,conference
 Conflict analysis in mixed integer programming,2007, Discrete Optimization4(1):
 Scip: solving constraint integer programs,2009, Mathematical Programming Computation1(1):
 Hybrid branching,2009, In International Conference on AI and ORTechniques in Constriant Programming for Combinatorial Optimization Problems pp
 Branching rules revisited,2005, Operations ResearchLetters33(1):
 Statistical mechanics of complex networks,2002, Reviews of modernphysics74(1):
 Learning to branch,2018, arXivpreprint arXiv:1803
 Airline crew scheduling,2003, In Handbook of transportation science pp
 Primal heuristics for mixed integer programs,2006, 2006
 In Advances in neural information processing systems pp,2018, 
 Reinforcement learningfor variable selection in a branch and bound algorithm,2020, arXiv preprint arXiv:2005
 The scip optimization suite 7,2020,0
 Exact combinatorialoptimization with graph convolutional neural networks,2019, In Advances in Neural Information ProcessingSystems pp
 Learning to branchin mixed integer programming,2016, In Thirtieth AAAI Conference on Artificial Intelligence
 A new approach to integrating mixed integerprogramming and constraint logicprogramming,1999, Annals of Operations research86:
 Evolution strategies as a scalablealternative to reinforcement learning,2017, arXiv preprint arXiv:1703
 Deep graph library: Towards efficient and scalable deep learning on graphs,2019, arXiv preprintarXiv:1909
 Natural evolution strategies,2008, In 2008IEEE Congress on Evolutionary Computation (IEEE World Congress on Computational Intelligence) pp
