title,year,conference
 Cophy: Counterfac-tual learning of physical dynamics,2019, arXiv preprint arXiv:1909
 A meta-transfer objective for learning to disentangle causalmechanisms,2019, arXiv preprint arXiv:1901
 Babyai: First steps towards grounded language learningwith a human in the loop,2018, arXiv preprint arXiv:1810
 Quantifying generalizationin reinforcement learning,2018, arXiv preprint arXiv:1812
 Causal reasoning frommeta-reinforcement learning,2019, arXiv preprint arXiv:1901
 Causal confusion in imitation learning,2019, InAdvances in Neural Information Processing Systems
 EXact bayesian structure learning from uncertain interventions,2007, InArtificial Intelligence and Statistics
 A planning system for robot construction tasks,1974, Artificial intelligence
 Recurrent independent mechanisms,2019, arXiv preprint arXiv:1909
 Object files and schemata: Factorizing declarative andprocedural knowledge in dynamical systems,2020, arXiv preprint arXiv:2006
 World models,2018, arXiv preprint arXiv:1803
 Clevr: A diagnostic dataset for compositional language and elementary visualreasoning,2017, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Learning neural causal models from unknown interventions,2019, arXiv preprintarXiv:1910
 Amortizedlearning of neural causal representations,2020, arXiv preprint arXiv:2008
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Learning to combine top-down and bottom-up signals inrecurrent neural networks with attention over modules,2020, arXiv preprint arXiv:2006
 Causal induction from visual observations forgoal directed tasks,2019, arXiv preprint arXiv:1910
 Gotta learn fast: Anew benchmark for generalization in rl,2018, arXiv preprint arXiv:1804
 Representation learning with contrastive predictivecoding,2018, arXiv preprint arXiv:1807
 Elements of causal inference: foundationsand learning algorithms,2017, MIT press
 Causally correct partialmodels for reinforcement learning,2020, arXiv preprint arXiv:2002
 Stochastic backpropagation andapproximate inference in deep generative models,2014, In Proceedings of The 31st InternationalConference on Machine Learning
 Compositional planning using optimal option models,2012, arXiv preprintarXiv:1206
 Relational forward models for multi-agentlearning,2018, arXiv preprint arXiv:1809
 Relational neuralexpectation maximization: Unsupervised discovery of objects and their interactions,2018, arXiv preprintarXiv:1802
 Entity abstraction in visual model-based reinforcementlearning,2020, In Conference on Robot Learning
 Understanding natural language,1972, Cognitive psychology
 Learning structural descriptions from examples,1970, 1970
 Clevrer: Collision events for video representation and reasoning,2019, arXiv preprintarXiv:1910
 DAGs with NO TEARS:Continuous optimization for structure learning,2018, In Advances in Neural Information ProcessingSystems
