title,year,conference
 Incorporatingfine-grained events in stock movement prediction,2019, arXiv preprint arXiv:1910
 Convolutional neural networks ongraphs with fast localized spectral filtering,2016, In Advances in neural information processing systems
 Temporalrelational ranking for stock prediction,2019, ACM Transactions on Information Systems (TOIS)
 A two-stage architecture forstock price forecasting by integrating self-organizing map and support vector regression,2009, ExpertSystems with Applications
 Semi-supervised classification with graph convolutional net-works,2016, arXiv preprint arXiv:1609
 Glove: Global vectors for wordrepresentation,2014, In Proceedings of the 2014 conference on empirical methods in natural languageprocessing (EMNLP)
 Modeling relational data with graph convolutional networks,2018, In European Semantic WebConference
 Foundations and modelling of dynamicnetworks using dynamic graph neural networks: A survey,2020, arXiv preprint arXiv:2005
 Graph attention networks,2017, arXiv preprint arXiv:1710
 Joint hypergraph learning and sparseregression for featUre selection,2017, Pattern Recognition
 Adaptive hypergraphlearning for unsupervised feature selection,2017, In IJCAI
