title,year,conference
 Designing neural network archi-tectures using reinforcement learning,2017, In International Conference on Learning Representations(ICLR)
 ProxylessNAS: Direct neural architecture search on target taskand hardware,2019, In International Conference on Learning Representations (ICLR)
 Once for all: Train one network and specialize it for efficientdeployment,2020, In International Conference on Learning Representations (ICLR)
 FBNetV3: Joint architecture-recipe search using neuralacquisition function,2020, arXiv preprint arXiv:2006
 ImageNet: A large-scalehierarchical image database,2009, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition (CVPR)
 Speeding up automatic hyperparameteroptimization of deep neural networks by extrapolation of learning curves,2015, In International JointConference on Artificial Intelligence (IJCAI)
 Network pruning via transformable architecture search,2019, In The Conferenceon Neural Information Processing Systems (NeurIPS)
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Automated configuration of algorithms for solving hard computational problems,2009, PhDthesis
 Sequential model-based optimizationfor general algorithm configuration,2011, In International Conference on Learning and IntelligentOptimization
 Automated Machine Learning,2019, Springer
 Population based trainingof neural networks,2017, arXiv preprint arXiv:1711
 Tabular benchmarks for joint architecture and hyperparameteroptimization,2019, arXiv preprint arXiv:1905
 Automatic parameter selection by minimizing estimated error,1995, InMachine Learning Proceedings
 3d object representations for fine-grainedcategorization,2013, In International IEEE Workshop on 3D Representation and Recognition (3dRR)
 ImageNet classification with deep convolu-tional neural networks,2012, In The Conference on Neural Information Processing Systems (NeurIPS)
 Darts: Differentiable architecture search,2019, InInternational Conference on Learning Representations (ICLR)
 Optimizing millions of hyperparametersby implicit differentiation,2020, In International Conference on Artificial Intelligence and Statistics(AISTATS)
 Hyperparameter optimization with approximate gradient,2016, In The InternationalConference on Machine Learning (ICML)
 Regularized evolution for imageclassifier architecture search,2019, In AAAI Conference on Artificial Intelligence (AAAI)
 Truncated back-propagationfor bilevel optimization,2019, In International Conference on Artificial Intelligence and Statistics(AISTATS)
 Taking thehuman out of the loop: A review of bayesian optimization,2015, Proceedings of the IEEE
 Practical bayesian optimization of machinelearning algorithms,2012, In Advances in neural information processing systems
 Scalable bayesian optimization using deep neuralnetworks,2015, In The International Conference on Machine Learning (ICML)
 EfficientNet: Rethinking model scaling for convolutional neuralnetworks,2019, In The International Conference on Machine Learning (ICML)
 MNasNet: Platform-aware neural architecture search for mobile,2019, In Proceedings ofthe IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 FBNetV2: Differentiable neural architecture search forspatial and channel dimensions,2020, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition (CVPR)
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine Learning
 FBNet: Hardware-aware efficient convnet design viadifferentiable neural architecture search,2019, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition (CVPR)
 Towards automated deep learning:Efficient joint neural architecture and hyperparameter search,2018, In The International Conference onMachine Learning (ICML) Workshop
 Places: A 10million image database for scene recognition,2017, IEEE Transactions on Pattern Analysis and MachineIntelligence (TPAMI)
 Neural architecture search with reinforcement learning,2017, In InternationalConference on Learning Representations (ICLR)
 Learning transferable architecturesfor scalable image recognition,2018, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition (CVPR)
