title,year,conference
 Smash: One-shotmodel architecture search through hypernetworks,2018, In 6th International Conference on LearningRepresentations
 Proxylessnas: Direct neural architecture search on target taskand hardware,2018, arXiv preprint arXiv:1812
 Once for all: Train onenetwork and specialize it for efficient deployment,2020, In International Conference on LearningRepresentations
 Detnas:Backbone search for object detection,2019, In Advances in Neural Information Processing Systems
 Peephole: Predicting network performance before train-ing,2017, arXiv preprint arXiv:1712
 Nas-bench-201: Extending the scope of reproducible neural architec-ture search,2020, In International Conference on Learning Representations
 Efficient multi-objective neural architecturesearch via lamarckian evolution,2018, In International Conference on Learning Representations
 Nas-fpn: Learning scalable feature pyramid architec-ture for object detection,2019, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition
 Neural architecture search in a proxy valida-tion loss landscape,2020, In International Conference on Machine Learning
 Darts: Differentiable architecture search,2018, arXivpreprint arXiv:1806
 Understanding and improving one-shot neural architec-ture optimization,2019, arXiv preprint arXiv:1909
 Xnas: Neuralarchitecture search with expert advice,2019, In Advances in Neural Information Processing Systems
 A generic graph-basedneural architecture encoding scheme for predictor-based nas,2020, In The European Conference onComputer Vision (ECCV)
 Efficient neural architecturesearch via parameter sharing,2018, arXiv preprint arXiv:1802
 Regularized evolution for imageclassifier architecture search,2019, In Proceedings of the aaai conference on artificial intelligence
 Assemblenet: Searching formulti-stream neural connectivity in video architectures,2019, arXiv preprint arXiv:1905
 Evaluatingthe search phase of neural architecture search,2019, arXiv preprint arXiv:1902
 Multi-objectiveneural architecture search via predictive network performance optimization,2019, arXiv preprintarXiv:1911
 Surrogate-assisted evolutionary deep learning using an end-to-end random forest-based performance predic-tor,2019, IEEE Transactions on Evolutionary Computation
 Alphax: exploring neural architec-tures with deep neural networks and monte carlo tree search,2018, arXiv preprint arXiv:1805
 Fbnet: Hardware-aware efficient convnet design viadifferentiable neural architecture search,2019, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 Cars: Continuous evolution for efficient neural architecture search,2019, arXiv preprintarXiv:1909
 Nas-bench-1shot1: Benchmarking and dissecting one-shot neural architecture search,2020, arXiv preprint arXiv:2001
 Graph hypernetworks for neural architecturesearch,2018, arXiv preprint arXiv:1810
 Neural architecture search with reinforcement learning,2017, In ICLR
