title,year,conference
 Signature ver-ification using a “siamese” time delay neural network,1993, In Proceedings of the 6th InternationalConference on Neural Information Processing Systems
 Neural logicmachines,2019, In International Conference on Learning Representations
 Amie: Associationrule mining under incomplete evidence in ontological knowledge bases,2013, In Proceedings of the22Nd International Conference on World Wide Web
 Deep relational machines,2013, In Minho Lee
 Wordnet: A lexical database for english,0001, Commun
 Deep probabilistic logic pro-gramming,2017, 4th International Workshop on Probabilistic logic programming
 Joint inference in information extraction,2007, In Proceedingsof the 22Nd National Conference on Artificial Intelligence
 Markov logic networks,2006, Machine Learning
 Learning and reasoning with logic tensor networks,2016, InGiovanni Adorni
 Reasoning with neuraltensor networks for knowledge base completion,2013, In C
 Python 3 Reference Manual,1441, CreateSpace
